topic,subtopic,name,equation_latex,description_from_image,formula_in_plain_english,description_from_gemini,sympy_formula
Thermodynamics and Molecular Physics,Kinetic Theory of Gases. Boltzmann's Law and Maxwell's Distribution,Maxwell-Boltzmann Distribution (Speed),dN(v) = N \left( \frac{m}{2\pi kT} \right)^{3/2} e^{-mv^2/2kT} 4\pi v^2 dv,Maxwellian distribution.,"The number of molecules with speed between v and v + dv is N times a normalization constant times e to the power of negative m v squared over 2kT, times 4 pi v squared dv.",This equation describes the Maxwell-Boltzmann distribution for molecular speeds. It gives the fraction of molecules in a gas that have speeds within a specific infinitesimal range dv. It's crucial for understanding the macroscopic properties of gases based on microscopic molecular motion.,"Eq(dN_v, N * (m / (2 * pi * k * T))**(S(3)/2) * exp(-m * v**2 / (2 * k * T)) * 4 * pi * v**2 * dv)"
Thermodynamics and Molecular Physics,Kinetic Theory of Gases. Boltzmann's Law and Maxwell's Distribution,Maxwell-Boltzmann Distribution (Reduced Form),dN(u) = N \frac{4}{\sqrt{\pi}} e^{-u^2} u^2 du,"Maxwellian distribution in a reduced form. u = v/v_p, v_p is the most probable velocity.",The number of molecules with reduced speed u is N times 4 over square root of pi times e to the power of negative u squared times u squared du.,"This is a dimensionless or reduced form of the Maxwell-Boltzmann speed distribution, where u is the ratio of the molecular speed v to the most probable speed v_p. It simplifies analysis by removing physical constants and temperature dependence, making it easier to compare distributions across different gases or temperatures.","Eq(dN_u, N * S(4)/sqrt(pi) * exp(-u**2) * u**2 * du)"
Thermodynamics and Molecular Physics,Kinetic Theory of Gases. Boltzmann's Law and Maxwell's Distribution,Most Probable Velocity,v_p = \sqrt{2 \frac{kT}{m}},"The most probable, the mean, and the root mean square velocities of molecules.",The most probable velocity equals the square root of 2kT over m.,"This formula calculates the most probable speed of a molecule in an ideal gas, which is the speed at which the Maxwell-Boltzmann distribution function is maximized. It's used to characterize the typical speed of molecules at a given temperature.","Eq(v_p, sqrt(2 * k * T / m))"
Thermodynamics and Molecular Physics,Kinetic Theory of Gases. Boltzmann's Law and Maxwell's Distribution,Mean Velocity (Average Speed),\langle v \rangle = \sqrt{\frac{8}{\pi} \frac{kT}{m}},"The most probable, the mean, and the root mean square velocities of molecules.",The mean velocity equals the square root of 8kT over pi m.,This formula calculates the average speed of molecules in an ideal gas. It's a measure of the central tendency of molecular speeds and is used in calculations involving collision rates and transport phenomena.,"Eq(v_mean, sqrt(S(8)/pi * k * T / m))"
Thermodynamics and Molecular Physics,Kinetic Theory of Gases. Boltzmann's Law and Maxwell's Distribution,Root Mean Square Velocity,v_{sq} = \sqrt{3 \frac{kT}{m}},"The most probable, the mean, and the root mean square velocities of molecules.",The root mean square velocity equals the square root of 3kT over m.,This formula calculates the root mean square (RMS) speed of molecules in an ideal gas. It's directly related to the kinetic energy of the gas and is often used in the definition of temperature in kinetic theory.,"Eq(v_rms, sqrt(3 * k * T / m))"
Thermodynamics and Molecular Physics,Liquids. Capillary Effects,Young-Laplace Pressure Difference,\Delta p = \alpha \left(\frac {1}{R _ {1}} + \frac {1}{R _ {2}}\right),where $\alpha$ is the surface tension of a given liquid.,The pressure difference across a curved liquid surface is equal to the surface tension multiplied by the sum of the reciprocals of the principal radii of curvature.,"This equation, a simplified form of the Young-Laplace equation, describes the pressure difference ($\Delta p$) across a curved interface between two fluids. It relates this pressure difference to the surface tension ($\alpha$) of the liquid and the curvature of the interface, represented by its principal radii of curvature ($R_1$ and $R_2$). It is used to explain phenomena like capillary action, droplet formation, and the stability of bubbles.","Eq(Delta(p), alpha * (1/R_1 + 1/R_2))"
Thermodynamics and Molecular Physics,Liquids. Capillary Effects,Surface Free Energy Increment,d F = \alpha d S,where $dS$ is the area increment of the surface layer.,The infinitesimal increment in free energy of a liquid surface is equal to the surface tension multiplied by the infinitesimal increment in surface area.,"This equation defines the change in free energy ($dF$) associated with an infinitesimal change in the surface area ($dS$) of a liquid. Surface tension ($\alpha$) represents the energy required to create a unit area of new surface. This relationship is fundamental in understanding surface phenomena where surface area changes, such as the formation of droplets or the stretching of liquid films.","Eq(dF, alpha * dS)"
Thermodynamics and Molecular Physics,Liquids. Capillary Effects,Isothermal Heat of Surface Formation,q = - T \frac {d \alpha}{d T},Amount of heat required to form a unit area of the liquid surface layer during the isothermal increase of its surface.,The amount of heat required to form a unit area of liquid surface isothermally is equal to the negative product of the absolute temperature and the temperature derivative of the surface tension.,"This equation describes the latent heat ($q$) associated with the formation of a unit area of a liquid surface under isothermal conditions. It relates this heat to the absolute temperature ($T$) and the temperature dependence of the surface tension ($d\alpha/dT$). This is crucial for understanding the thermodynamics of surfaces and how surface properties, particularly surface tension, change with temperature.","Eq(q, -T * Derivative(alpha, T))"
Thermodynamics and Molecular Physics,Phase Transformations,Critical Molar Volume (Van der Waals),V_{Mcr} = 3b,Relation between Van der Waals constant 'b' and critical molar volume.,The critical molar volume is three times the Van der Waals constant 'b'.,"This formula relates the critical molar volume ($V_{Mcr}$) of a substance to the Van der Waals constant 'b', which accounts for the finite size of molecules. It's derived from the Van der Waals equation of state and is used to characterize the critical point.","Eq(V_Mcr, 3*b)"
Thermodynamics and Molecular Physics,Phase Transformations,Critical Pressure (Van der Waals),p_{cr} = \frac{a}{27b^2},Relation between Van der Waals constants 'a' and 'b' and critical pressure.,The critical pressure is the Van der Waals constant 'a' divided by twenty-seven times the square of the Van der Waals constant 'b'.,This formula relates the critical pressure ($p_{cr}$) to the Van der Waals constants 'a' (intermolecular attraction) and 'b' (molecular volume). It's derived from the conditions for a critical point (first and second derivatives of pressure with respect to volume are zero) using the Van der Waals equation.,"Eq(p_cr, a / (27*b**2))"
Thermodynamics and Molecular Physics,Phase Transformations,Critical Temperature (Van der Waals),T_{cr} = \frac{8a}{27Rb},"Relation between Van der Waals constants 'a' and 'b', gas constant 'R', and critical temperature.",The critical temperature is eight times the Van der Waals constant 'a' divided by twenty-seven times the product of the ideal gas constant 'R' and the Van der Waals constant 'b'.,"This formula relates the critical temperature ($T_{cr}$) to the Van der Waals constants 'a' and 'b', and the ideal gas constant 'R'. It's derived from the critical point conditions of the Van der Waals equation and represents the temperature above which a gas cannot be liquefied by pressure alone.","Eq(T_cr, 8*a / (27*R*b))"
Thermodynamics and Molecular Physics,Phase Transformations,Critical Compressibility Factor Relation (Van der Waals),p_{cr}V_{Mcr} = (3/8)RT_{cr},"Relation between critical pressure, critical molar volume, ideal gas constant, and critical temperature for a mole of substance.",The product of critical pressure and critical molar volume is three-eighths times the product of the ideal gas constant and critical temperature.,"This equation shows the relationship between the critical pressure, critical molar volume, and critical temperature, as predicted by the Van der Waals equation of state. It implies that the critical compressibility factor ($Z_{cr} = \frac{p_{cr}V_{Mcr}}{RT_{cr}}$) for all Van der Waals gases is 3/8, a universal constant according to this model. It's used to check the consistency of critical parameters.","Eq(p_cr * V_Mcr, (3/8) * R * T_cr)"
Thermodynamics and Molecular Physics,Phase Transformations,Clausius-Clapeyron Equation,\frac{dp}{dT} = \frac{q_{12}}{T(V'_2 - V'_1)},"The rate of change of pressure with temperature is equal to the specific heat absorbed in transformation $1 \to 2$ divided by the product of temperature and the difference in specific volumes of phases 2 and 1. ($q_{12}$ is specific heat absorbed in transformation $1 \to 2$, $V'_1$ and $V'_2$ are specific volumes of phases 1 and 2).",The derivative of pressure with respect to temperature is equal to the specific latent heat of transformation divided by the product of the absolute temperature and the change in specific volume during the phase transition.,"This equation describes the relationship between pressure and temperature along phase boundaries (e.g., solid-liquid, liquid-gas). It relates the slope of the phase boundary ($\frac{dp}{dT}$) to the specific latent heat of transformation ($q_{12}$), the absolute temperature ($T$), and the change in specific volume ($\Delta V' = V'_2 - V'_1$) during the phase transition. It's crucial for understanding phase diagrams and predicting phase changes.","Eq(Derivative(p, T), q_12 / (T * (V_prime_2 - V_prime_1)))"
Thermodynamics and Molecular Physics,Transport Phenomena,Particle count ratio (exponential decay),N / N _ {0} = \mathrm{e} ^ {- s / \lambda},where $\lambda$ is the mean free path.,The ratio of the number of particles N to the initial number N_0 is equal to e raised to the power of negative s divided by lambda.,"This formula describes an exponential decay process, often used to model the decrease in the number of particles (N) from an initial count (N_0) as they travel a distance (s), where $\lambda$ is the mean free path. It's common in kinetic theory or radiation attenuation.","Eq(N / N_0, exp(-s / Lambda))"
Thermodynamics and Molecular Physics,Transport Phenomena,Mean free path of a gas molecule,\lambda = \frac {1}{\sqrt {2} \pi d ^ {2} n},"Mean free path of a gas molecule: where $d$ is the effective diameter of a molecule, and $n$ is the number of molecules per unit volume.","Lambda, the mean free path, is equal to one divided by the square root of two times pi times the molecular diameter squared times the number density.","This formula calculates the average distance a gas molecule travels between successive collisions with other molecules. It depends on the molecular diameter (d) and the number density (n) of the gas. It is a fundamental concept in the kinetic theory of gases, used to understand transport phenomena.","Eq(Lambda, 1 / (sqrt(2) * pi * d**2 * n))"
Thermodynamics and Molecular Physics,Transport Phenomena,Coefficient of diffusion,D = \frac {1}{3} \langle v \rangle \lambda,"Coefficients of diffusion $D$, viscosity $\eta$, and heat conductivity $\varkappa$ of gases:",The diffusion coefficient D is equal to one-third times the average molecular speed times the mean free path.,"This formula relates the diffusion coefficient (D) of a gas to its average molecular speed ($\langle v \rangle$) and mean free path ($\lambda$). It quantifies how quickly gas molecules spread out due to random motion, driven by concentration gradients.","Eq(D, (1/3) * v_avg * Lambda)"
Thermodynamics and Molecular Physics,Transport Phenomena,Coefficient of viscosity,\eta = \frac {1}{3} \langle v \rangle \lambda \rho,"Coefficients of diffusion $D$, viscosity $\eta$, and heat conductivity $\varkappa$ of gases: where $\rho$ is the gas density, and $c_V$ is its specific heat capacity at constant volume.",The viscosity coefficient eta is equal to one-third times the average molecular speed times the mean free path times the gas density.,"This formula describes the viscosity coefficient ($\eta$) of a gas, which measures its resistance to flow or shear stress. It depends on the average molecular speed ($\langle v \rangle$), mean free path ($\lambda$), and gas density ($\rho$). It's used in fluid dynamics to characterize internal friction.","Eq(eta, (1/3) * v_avg * Lambda * rho)"
Thermodynamics and Molecular Physics,Transport Phenomena,Coefficient of heat conductivity,\varkappa = \frac {1}{3} \langle v \rangle \lambda \rho c _ {V},"Coefficients of diffusion $D$, viscosity $\eta$, and heat conductivity $\varkappa$ of gases: where $\rho$ is the gas density, and $c_V$ is its specific heat capacity at constant volume.",The heat conductivity coefficient kappa is equal to one-third times the average molecular speed times the mean free path times the gas density times the specific heat capacity at constant volume.,"This formula calculates the heat conductivity coefficient ($\varkappa$) of a gas, indicating its ability to transfer thermal energy. It depends on the average molecular speed ($\langle v \rangle$), mean free path ($\lambda$), gas density ($\rho$), and specific heat capacity at constant volume ($c_V$). It's used in heat transfer analysis.","Eq(kappa, (1/3) * v_avg * Lambda * rho * c_V)"
Thermodynamics and Molecular Physics,Transport Phenomena,Friction force in rarefied gas,F = \frac {1}{6} \langle v \rangle \rho | u _ {1} - u _ {2} |,Friction force acting on a unit area of plates during their motion parallel to each other in a highly rarefied gas: where $u_1$ and $u_2$ are the velocities of the plates.,The friction force F is equal to one-sixth times the average molecular speed times the gas density times the absolute difference between the velocities of the two plates.,"This formula describes the friction force per unit area acting on plates moving parallel to each other in a highly rarefied gas. It depends on the average molecular speed ($\langle v \rangle$), gas density ($\rho$), and the relative velocity of the plates ($|u_1 - u_2|$). It's applicable in situations where the mean free path is comparable to or larger than the system dimensions.","Eq(F, (1/6) * v_avg * rho * Abs(u1 - u2))"
Thermodynamics and Molecular Physics,Transport Phenomena,Thermal flux density in rarefied gas,q = \frac {1}{6} \langle v \rangle \rho c _ {V} | T _ {1} - T _ {2} |,Density of a thermal flux transferred between two walls by highly rarefied gas:,The thermal flux density q is equal to one-sixth times the average molecular speed times the gas density times the specific heat capacity at constant volume times the absolute difference between the temperatures of the two walls.,"This formula calculates the density of thermal flux transferred between two walls by a highly rarefied gas. It depends on the average molecular speed ($\langle v \rangle$), gas density ($\rho$), specific heat capacity ($c_V$), and the absolute temperature difference between the walls ($|T_1 - T_2|$). This is relevant for heat transfer in vacuum or near-vacuum conditions.","Eq(q, (1/6) * v_avg * rho * c_V * Abs(T1 - T2))"
Electrodynamics,Constant Electric Field in Vacuum,Electric Field Strength of a Point Charge,\mathbf{E} = \frac{1}{4\pi\varepsilon_0} \frac{q}{r^3} \mathbf{r},Strength of the field of a point charge $q$.,"The electric field strength E is equal to one over four pi epsilon-naught times the charge q over the cube of the distance r, multiplied by the position vector r.",This formula describes the electric field strength produced by a point charge `q` at a distance `r` from it. `\varepsilon_0` is the permittivity of free space. The field is radial and its magnitude decreases with the square of the distance. It's used to calculate the force on another charge in the vicinity.,"Eq(E_vec, (1/(4*pi*epsilon_0)) * (q/r**3) * r_vec)"
Electrodynamics,Constant Electric Field in Vacuum,Electric Potential of a Point Charge,\varphi = \frac{1}{4\pi\varepsilon_0} \frac{q}{r},Potential of the field of a point charge $q$.,The electric potential phi is equal to one over four pi epsilon-naught times the charge q over the distance r.,This formula gives the electric potential (scalar) at a distance `r` from a point charge `q`. It represents the potential energy per unit charge at that point. It's used to calculate the work done to move a charge in the field or to find the potential difference between two points.,"Eq(phi, (1/(4*pi*epsilon_0)) * (q/r))"
Electrodynamics,Constant Electric Field in Vacuum,Relation between Electric Field and Potential,\mathbf{E} = -\nabla\varphi,Relation between field strength and potential; field strength is equal to the antigradient of the potential.,The electric field strength E is equal to the negative gradient of the electric potential phi.,This fundamental relation shows that the electric field is the negative gradient of the electric potential. It means that the electric field points in the direction of the steepest decrease in potential. It's used to derive the electric field from a known potential function.,"Eq(E_vec, -nabla_op(phi))"
Electrodynamics,Constant Electric Field in Vacuum,Gauss's Law for Electric Fields,"\oint \mathbf{E} \, d\mathbf{S} = q/\varepsilon_0",Gauss's theorem.,The closed surface integral of the electric field E dot dS is equal to the enclosed charge q divided by epsilon-naught.,"This is Gauss's Law, a fundamental law of electromagnetism. It states that the total electric flux through any closed surface is proportional to the total electric charge enclosed within that surface. It's used to calculate electric fields for highly symmetric charge distributions.","Eq(Integral(E_vec.dot(dS_vec)), q/epsilon_0)"
Electrodynamics,Constant Electric Field in Vacuum,Circulation of Electric Field (Conservative Field),"\oint \mathbf{E} \, d\mathbf{r} = 0",Circulation of the vector $\mathbf{E}$.,The closed line integral of the electric field E dot dr is equal to zero.,"This equation states that the circulation of a static electric field around any closed loop is zero. This implies that the electrostatic field is conservative, meaning the work done by the field on a charge moving around a closed path is zero. It's a consequence of the electric field being derivable from a scalar potential.","Eq(Integral(E_vec.dot(dr_vec)), 0)"
Electrodynamics,Constant Electric Field in Vacuum,Electric Potential of a Point Dipole,\varphi = \frac{1}{4\pi\varepsilon_0} \frac{\mathbf{p}\mathbf{r}}{r^3},Potential of the field of a point dipole with electric moment $\mathbf{p}$.,"The electric potential phi is equal to one over four pi epsilon-naught times the dot product of the dipole moment p and the position vector r, divided by the cube of the distance r.",This formula calculates the electric potential produced by an electric dipole `\mathbf{p}` at a position `\mathbf{r}`. The potential depends on the orientation of the dipole relative to the position vector. It's used to describe the field far from a dipole.,"Eq(phi, (1/(4*pi*epsilon_0)) * (p_vec.dot(r_vec)/r**3))"
Electrodynamics,Constant Electric Field in Vacuum,Electric Field Strength of a Point Dipole,E = \frac{1}{4\pi\varepsilon_0} \frac{p}{r^3} \sqrt{1 + 3\cos^2\theta},"Strength of the field of a point dipole with electric moment $\mathbf{p}$, where $\theta$ is the angle between the vectors $\mathbf{r}$ and $\mathbf{p}$.","The magnitude of the electric field E is equal to one over four pi epsilon-naught times the magnitude of the dipole moment p over the cube of the distance r, multiplied by the square root of one plus three times the cosine squared of theta.",This formula gives the magnitude of the electric field strength produced by an electric dipole `p` at a distance `r`. The angle `\theta` is between the dipole moment vector `\mathbf{p}` and the position vector `\mathbf{r}`. It shows that the dipole field falls off as `1/r^3`.,"Eq(E, (1/(4*pi*epsilon_0)) * (p/r**3) * sqrt(1 + 3*cos(theta)**2))"
Electrodynamics,Constant Electric Field in Vacuum,Energy of an Electric Dipole in an External Field,W = -\mathbf{p}\mathbf{E},Energy $W$ of the dipole $\mathbf{p}$ in an external electric field.,The energy W is equal to the negative dot product of the dipole moment p and the external electric field E.,This formula calculates the potential energy of an electric dipole `\mathbf{p}` placed in an external electric field `\mathbf{E}`. The energy is minimized when the dipole moment is aligned with the electric field. It's used to determine the stable orientation of a dipole in a field.,"Eq(W, -p_vec.dot(E_vec))"
Electrodynamics,Constant Electric Field in Vacuum,Torque on an Electric Dipole in an External Field,\mathbf{N} = [\mathbf{p}\mathbf{E}],Moment $\mathbf{N}$ of forces acting on the dipole.,The torque N is equal to the cross product of the dipole moment p and the external electric field E.,This formula calculates the torque `\mathbf{N}` experienced by an electric dipole `\mathbf{p}` when placed in an external electric field `\mathbf{E}`. The torque tends to align the dipole with the electric field. It's used to understand the rotational motion of dipoles.,"Eq(N_vec, p_vec.cross(E_vec))"
Electrodynamics,Constant Electric Field in Vacuum,Force on an Electric Dipole in a Non-Uniform Field (General),\mathbf{F} = p \frac{\partial \mathbf{E}}{\partial l},"Force $\mathbf{F}$ acting on a dipole, where $\partial\mathbf{E}/\partial l$ is the derivative of the vector $\mathbf{E}$ with respect to the dipole direction.",The force F is equal to the magnitude of the dipole moment p times the partial derivative of the electric field E with respect to the direction of the dipole l.,This formula describes the force acting on an electric dipole `p` when it is in a non-uniform electric field. The force depends on how the electric field changes along the direction of the dipole. It's used to calculate the translational motion of a dipole in a varying field.,"Eq(F_vec, p * Derivative(E_vec, l))"
Electrodynamics,Constant Electric Field in Vacuum,Force on an Electric Dipole in a Non-Uniform Field (Component),F_x = \mathbf{p} \cdot \nabla E_x,"Projection $F_x$ of the force acting on a dipole, where $\nabla E_x$ is the gradient of the function $E_x$.",The x-component of the force F_x is equal to the dot product of the dipole moment p and the gradient of the x-component of the electric field E_x.,This formula gives the x-component of the force on an electric dipole `\mathbf{p}` in a non-uniform electric field. It shows that the force component is determined by the dipole's alignment with the gradient of the corresponding field component. It's a specific component of the general force formula `\mathbf{F} = (\mathbf{p} \cdot \nabla) \mathbf{E}`.,"Eq(F_x, p_vec.dot(nabla_op(E_x)))"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Relativistic Energy-Momentum Relation,E ^ {2} - p ^ {2} c ^ {2} = m _ {0} ^ {2} c ^ {4},From equation block (1.8h),Energy squared minus momentum squared times the speed of light squared equals rest mass squared times the speed of light to the fourth power.,"This fundamental equation in special relativity relates the total energy (E) of a particle to its momentum (p), rest mass (m₀), and the speed of light (c). It shows that even a particle at rest (p=0) has energy (E = m₀c²). It's used to describe the energy of particles, especially at high speeds.","Eq(E**2 - p**2 * c**2, m0**2 * c**4)"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Relativistic Momentum in terms of Kinetic Energy,p c = \sqrt {T (T + 2 m _ {0} c ^ {2})},From equation block (1.8h),Momentum times the speed of light equals the square root of kinetic energy times the sum of kinetic energy and twice the rest mass energy.,"This equation expresses the product of momentum (p) and the speed of light (c) in terms of the kinetic energy (T) and rest mass (m₀) of a particle. It's useful for calculating momentum when kinetic energy is known, particularly in relativistic scenarios where T is comparable to m₀c².","Eq(p * c, sqrt(T * (T + 2 * m0 * c**2)))"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Relativistic Energy-Momentum Relation,E ^ {2} - p ^ {2} c ^ {2} = m _ {0} ^ {2} c ^ {4},From equation block (1.8i),Energy squared minus momentum squared times the speed of light squared equals rest mass squared times the speed of light to the fourth power.,"This is the fundamental relativistic energy-momentum relation, identical to the first formula but presented with a different tag. It relates total energy (E), momentum (p), rest mass (m₀), and the speed of light (c), crucial for describing particle dynamics in special relativity.","Eq(E**2 - p**2 * c**2, m0**2 * c**4)"
Thermodynamics and Molecular Physics,Equation of the Gas State. Processes,Ideal Gas Law,pV = \frac{m}{M} RT,where \( M \) is the molar mass.,"Pressure times volume equals mass divided by molar mass, all multiplied by the ideal gas constant and temperature.","Relates the pressure, volume, temperature, and amount of an ideal gas. It's used to describe the behavior of gases under conditions where intermolecular forces and molecular volume are negligible.","Eq(p*V, (m/M)*R*T)"
Thermodynamics and Molecular Physics,Equation of the Gas State. Processes,Barometric Formula,p = p_0 e^{-Mgh/RT},where \( p_0 \) is the pressure at the height \( h = 0 \).,"Pressure equals initial pressure times Euler's number raised to the power of negative molar mass times gravitational acceleration times height, divided by the ideal gas constant times temperature.",Describes how the pressure of a gas (like air) changes with altitude in an isothermal atmosphere. It's used to estimate atmospheric pressure at different heights.,"Eq(p, p_0 * exp(-M*g*h/(R*T)))"
Thermodynamics and Molecular Physics,Equation of the Gas State. Processes,Van der Waals Equation of Gas State,\left(p + \frac{a}{V_M^2}\right)(V_M - b) = RT,where \( V_M \) is the molar volume under given \( p \) and \( T \).,"Pressure plus a constant 'a' divided by molar volume squared, all multiplied by molar volume minus a constant 'b', equals the ideal gas constant times temperature.","An equation of state that extends the ideal gas law to account for the finite size of molecules and the attractive forces between them. It's used for real gases, especially at high pressures and low temperatures where ideal gas assumptions break down.","Eq((p + a/V_M**2)*(V_M - b), R*T)"
Thermodynamics and Molecular Physics,Kinetic Theory of Gases. Boltzmann's Law and Maxwell's Distribution,Boltzmann's formula,n = n_0 e^{-(U-U_0)/kT},where $U$ is the potential energy of a molecule.,"The number density n equals the initial number density n_0 times e to the power of negative the difference between potential energy U and reference potential energy U_0, all divided by Boltzmann constant k times temperature T.","This is Boltzmann's distribution, which describes the relative population of particles in different energy states within a system at thermal equilibrium. It shows how the number density (n) at a potential energy (U) decreases exponentially relative to a reference number density (n_0) at a reference potential energy (U_0) as the potential energy increases. It is widely used in statistical mechanics to model particle distributions in fields like gravity or electric fields.","Eq(n, n_0 * exp(-(U - U_0) / (k * T)))"
Electrodynamics,Electric Current,Current in a Segment (Ohm's Law form 1),I = \frac {V _ {1 2}}{R},where $V_{12}$ is the voltage drop across the segment.,Current equals the voltage drop across the segment divided by resistance.,"This formula represents a basic form of Ohm's Law, stating that the current (I) flowing through a segment of a circuit is directly proportional to the voltage drop ($V_{12}$) across it and inversely proportional to its resistance (R). It is used to calculate current when voltage and resistance are known.","Eq(I, V_12 / R)"
Electrodynamics,Electric Current,Current in a Segment (Ohm's Law form 2),I = \frac {\varphi_ {1} - \varphi_ {2} + \mathcal {E} _ {1 2}}{R},where $V_{12}$ is the voltage drop across the segment.,"Current equals the potential difference plus electromotive force, all divided by resistance.","This is an extended form of Ohm's Law, where the voltage drop $V_{12}$ is explicitly broken down into the potential difference ($\varphi_1 - \varphi_2$) and any electromotive force ($\mathcal{E}_{12}$) present in the segment, divided by the resistance (R). It is used when considering internal EMFs or potential differences within a circuit segment.","Eq(I, (phi_1 - phi_2 + E_12) / R)"
Electrodynamics,Electric Current,"Current in a Segment (Ohm's Law form 1, repeated)",I = \frac {V _ {1 2}}{R},where $V_{12}$ is the voltage drop across the segment.,Current equals the voltage drop across the segment divided by resistance.,"This formula is a repetition of the basic Ohm's Law for a circuit segment, emphasizing that current (I) is the ratio of voltage drop ($V_{12}$) to resistance (R). It serves as a fundamental relationship in circuit analysis.","Eq(I, V_12 / R)"
Electrodynamics,Electric Current,"Current in a Segment (Ohm's Law form 2, repeated)",I = \frac {\varphi_ {1} - \varphi_ {2} + \mathcal {E} _ {1 2}}{R},where $V_{12}$ is the voltage drop across the segment.,"Current equals the potential difference plus electromotive force, all divided by resistance.","This formula is a repetition of the extended Ohm's Law, expressing current (I) in terms of potential difference ($\varphi_1 - \varphi_2$), electromotive force ($\mathcal{E}_{12}$), and resistance (R). It's applicable when the voltage source includes an internal EMF or when analyzing potential changes.","Eq(I, (phi_1 - phi_2 + E_12) / R)"
Electrodynamics,Electric Current,Differential Form of Ohm's Law,\mathbf {j} = \sigma (\mathbf {E} + \mathbf {E} ^ {*}),Differential form of Ohm's law: where $\mathbf{E}^*$ is the strength of a field produced by extraneous forces.,Current density equals conductivity times the sum of the electric field and the extraneous electric field.,"This is the differential form of Ohm's Law, relating current density ($\mathbf{j}$) to the electric field ($\mathbf{E}$), conductivity ($\sigma$), and an extraneous electric field ($\mathbf{E}^*$) caused by non-conservative forces (e.g., chemical or thermal). It is used to describe current flow in materials at a microscopic level, especially when non-electrical forces contribute to charge movement.","Eq(j, sigma * (E + E_star))"
Electrodynamics,Electric Current,Kirchhoff's Current Law (KCL),\sum I _ {h} = 0,Kirchhoff's laws (for an electric circuit).,The sum of currents entering a junction is zero.,Kirchhoff's Current Law (KCL) states that the algebraic sum of currents entering (or leaving) any node (junction) in an electrical circuit is zero. This law is based on the principle of conservation of electric charge and is fundamental for analyzing current distribution in complex circuits.,"Eq(sum_I_h, 0)"
Electrodynamics,Electric Current,Kirchhoff's Voltage Law (KVL),\sum I _ {h} R _ {h} = \sum \mathscr {E} _ {h},Kirchhoff's laws (for an electric circuit).,The sum of voltage drops across resistors in a closed loop equals the sum of electromotive forces in that loop.,"Kirchhoff's Voltage Law (KVL) states that the algebraic sum of the potential differences (voltages) around any closed loop in an electrical circuit is zero. This particular form equates the sum of voltage drops across resistors ($\sum I_h R_h$) to the sum of electromotive forces ($\sum \mathscr{E}_h$) in the loop, reflecting the conservation of energy. It is used to analyze voltage distribution in complex circuits.","Eq(sum_I_h_R_h, sum_E_h)"
Electrodynamics,Electric Current,Electric Power,P = V I,Power $P$ of current and thermal power $Q$.,Power equals voltage times current.,This formula defines the electric power (P) dissipated or supplied in a circuit element as the product of the voltage (V) across it and the current (I) flowing through it. It quantifies the rate at which electrical energy is transferred or consumed.,"Eq(P, V * I)"
Electrodynamics,Electric Current,Electric Power (Expanded),P = \left(\varphi_ {1} - \varphi_ {2} + \mathcal {E} _ {1 2}\right) I,Power $P$ of current and thermal power $Q$.,"Power equals the sum of potential difference and electromotive force, all multiplied by current.","This is an expanded form of the electric power formula, where the voltage (V) is replaced by the potential difference ($\varphi_1 - \varphi_2$) plus any electromotive force ($\mathcal{E}_{12}$) in the segment, multiplied by the current (I). It is used when the voltage source includes an internal EMF or when analyzing power in terms of potential changes.","Eq(P, (phi_1 - phi_2 + E_12) * I)"
Electrodynamics,Electric Current,Thermal Power (Joule Heating),Q = R I ^ {2},Power $P$ of current and thermal power $Q$.,Thermal power equals resistance times the square of the current.,"This formula, known as Joule's Law, calculates the thermal power (Q) dissipated as heat in a resistor (R) when a current (I) flows through it. It quantifies the rate at which electrical energy is converted into heat due to resistive heating.","Eq(Q, R * I**2)"
Electrodynamics,Electric Current,Specific Power of Current,P _ {s p} = \mathbf {j} (\mathbf {E} + \mathbf {E} ^ {*}),Specific power $P_{sp}$ of current and specific thermal power $Q_{sp}$.,Specific power equals current density times the sum of the electric field and the extraneous electric field.,"This formula defines the specific power ($P_{sp}$), which is the power per unit volume, in terms of current density ($\mathbf{j}$), electric field ($\mathbf{E}$), and extraneous electric field ($\mathbf{E}^*$). It represents the rate of energy conversion per unit volume within a material, accounting for both conservative and non-conservative forces.","Eq(P_sp, j * (E + E_star))"
Electrodynamics,Electric Current,Specific Thermal Power,Q _ {s p} = \rho \mathbf {j} ^ {2},Specific power $P_{sp}$ of current and specific thermal power $Q_{sp}$.,Specific thermal power equals resistivity times the square of the current density.,"This formula defines the specific thermal power ($Q_{sp}$), which is the thermal power dissipated per unit volume, in terms of resistivity ($\rho$) and current density ($\mathbf{j}$). It describes the rate of heat generation per unit volume due to resistive heating at a microscopic level.","Eq(Q_sp, rho * j**2)"
Electrodynamics,Electric Current,Current Density in a Metal,\mathbf {j} = e n u,Current density in a metal: where $u$ is the average velocity of carriers.,Current density equals elementary charge times number density of carriers times their average velocity.,"This formula relates the current density ($\mathbf{j}$) in a conductor to the elementary charge ($e$), the number density of charge carriers ($n$), and their average drift velocity ($u$). It is fundamental for understanding the microscopic basis of current flow in materials like metals and semiconductors.","Eq(j, e * n * u)"
